City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,mount gambier,-37.8333,140.7667,52.47,45.0,35.0,8.59,AU,1716907126
373,wakkanai,45.4094,141.6739,42.01,91.0,100.0,16.71,JP,1716907128
375,katsuren-haebaru,26.3369,127.8719,73.78,95.0,75.0,5.75,JP,1716906927
377,mandalgovi,45.7625,106.2708,49.8,64.0,100.0,18.97,MN,1716907132
378,tczew,54.0924,18.7779,81.84,55.0,29.0,11.43,PL,1716907133
379,itamaraca,-7.7478,-34.8256,77.05,67.0,17.0,9.15,BR,1716907134
380,huruta,8.15,39.35,74.68,42.0,79.0,8.41,ET,1716907135
381,mirnyy,62.5353,113.9611,58.23,49.0,95.0,5.01,RU,1716907055
382,palmer,42.1584,-72.3287,75.22,68.0,75.0,4.61,US,1716907138
383,kristiansund,63.1115,7.732,62.65,77.0,75.0,6.91,NO,1716907139
384,pyhajarvi,67.0701,27.2176,70.9,52.0,85.0,9.33,FI,1716907140
385,hamilton,39.1834,-84.5333,73.74,62.0,0.0,14.97,US,1716906846
386,kogalym,62.2654,74.4791,33.98,99.0,100.0,10.0,RU,1716907142
387,vicuna,-30.0319,-70.7081,42.53,12.0,94.0,2.55,CL,1716907143
388,saint-philippe,-21.3585,55.7679,74.79,87.0,56.0,15.46,RE,1716907145
389,kenora,49.8167,-94.4337,49.17,81.0,100.0,10.36,CA,1716907146
390,fort bragg,35.139,-79.006,83.19,59.0,0.0,9.22,US,1716907147
391,babahoyo,-1.8167,-79.5167,75.09,94.0,99.0,2.37,EC,1716907148
392,wau,7.7029,27.9953,100.81,24.0,85.0,4.76,SS,1716907149
393,ilhabela,-23.7781,-45.3581,78.85,70.0,22.0,4.88,BR,1716907150
394,newman,37.3138,-121.0208,62.24,76.0,33.0,3.0,US,1716907151
395,reggane,26.7158,0.1714,108.19,6.0,24.0,3.13,DZ,1716906876
396,port isabel,26.0734,-97.2086,89.64,83.0,40.0,10.36,US,1716907153
397,scarborough,54.2797,-0.4044,58.93,88.0,100.0,5.99,GB,1716906600
398,tlamacazapa,18.5167,-99.5,71.47,40.0,2.0,2.08,MX,1716907156
399,kavieng,-2.5744,150.7967,82.72,80.0,85.0,15.21,PG,1716906961
400,caconda,-13.7333,15.0667,79.97,19.0,35.0,4.59,AO,1716907158
401,banda aceh,5.5577,95.3222,83.44,77.0,96.0,1.21,ID,1716906923
402,visby,57.6409,18.296,79.02,24.0,0.0,13.8,SE,1716907160
403,nyurba,63.2842,118.3319,57.47,71.0,86.0,5.46,RU,1716906945
404,labytnangi,66.6572,66.4183,29.37,66.0,69.0,6.04,RU,1716907162
405,okhotsk,59.3833,143.3,44.92,74.0,79.0,4.76,RU,1716907163
406,amos,48.5669,-78.1162,47.23,97.0,100.0,10.94,CA,1716907164
408,siquirres,10.0975,-83.5066,87.96,60.0,100.0,2.95,CR,1716907167
409,deltebre,40.7499,0.7868,68.92,73.0,8.0,18.54,ES,1716907039
410,kone,-21.0595,164.8658,63.34,92.0,100.0,4.52,NC,1716907169
411,sosnovo-ozerskoye,52.5249,111.5418,57.09,42.0,100.0,12.88,RU,1716906901
412,bantay,17.5847,120.3892,82.4,83.0,100.0,6.78,PH,1716907171
413,novyy urengoy,66.0833,76.6333,21.81,89.0,82.0,6.8,RU,1716907172
414,gawler,-34.6,138.7333,60.98,46.0,5.0,6.82,AU,1716907173
416,yeppoon,-23.1333,150.7333,67.24,82.0,11.0,15.88,AU,1716907176
417,kingston,17.997,-76.7936,87.17,66.0,75.0,6.91,JM,1716906920
418,roscommon,53.6333,-8.1833,57.11,75.0,73.0,18.57,IE,1716907178
419,nguigmi,14.2495,13.1092,106.2,16.0,89.0,13.22,NE,1716907179
420,boguchany,58.3814,97.4531,55.85,53.0,73.0,7.0,RU,1716907180
421,gallup,35.5281,-108.7426,48.96,13.0,0.0,3.56,US,1716907181
422,mount isa,-20.7333,139.5,56.97,72.0,0.0,3.44,AU,1716906968
425,natal,-5.795,-35.2094,77.65,94.0,100.0,12.66,BR,1716907133
426,misratah,32.3754,15.0925,76.26,53.0,6.0,15.26,LY,1716907187
428,nantucket,41.2835,-70.0995,63.09,99.0,100.0,14.97,US,1716906982
429,kuraymah,18.55,31.85,110.43,5.0,0.0,6.08,SD,1716907190
430,qarchi gak,37.04,66.7889,87.53,12.0,0.0,12.19,AF,1716907191
431,humaita,-7.5061,-63.0208,85.06,53.0,56.0,6.06,BR,1716907192
432,weno,7.4515,151.8468,80.55,89.0,100.0,8.05,FM,1716907194
433,ponta delgada,37.7333,-25.6667,68.72,77.0,20.0,9.22,PT,1716907195
434,taksimo,56.3444,114.8794,55.67,44.0,6.0,1.3,RU,1716907196
436,bikenibeu village,1.3673,173.1241,84.16,74.0,20.0,6.91,KI,1716907198
437,ghat,24.9647,10.1728,103.19,10.0,32.0,17.65,LY,1716907199
438,amga,60.8953,131.9608,50.94,84.0,100.0,1.57,RU,1716907200
439,chinde,26.8418,88.0763,70.09,75.0,18.0,5.12,NP,1716907194
440,illizi,26.4833,8.4667,102.0,9.0,1.0,10.96,DZ,1716907202
441,bhag,29.0415,67.8239,111.61,3.0,0.0,34.67,PK,1716907204
442,east london,-33.0153,27.9116,72.54,53.0,0.0,4.61,ZA,1716906909
444,charlottetown,46.2352,-63.1267,64.56,79.0,100.0,28.77,CA,1716907043
445,tawau,4.2498,117.8871,80.73,85.0,100.0,5.75,MY,1716907209
446,nanao,37.05,136.9667,57.33,98.0,100.0,3.36,JP,1716907210
447,metlili chaamba,32.2667,3.6333,95.94,10.0,0.0,6.91,DZ,1716907211
448,turpan,42.9333,89.1667,82.78,13.0,8.0,2.19,CN,1716907212
449,saudarkrokur,65.7461,-19.6394,51.37,70.0,92.0,5.95,IS,1716906981
450,moramanga,-18.9333,48.2,58.21,93.0,5.0,4.56,MG,1716907214
451,al jaradiyah,16.5795,42.9124,94.5,56.0,87.0,10.51,SA,1716907215
452,shuangjiang,26.1547,109.7138,69.12,74.0,100.0,2.77,CN,1716907216
453,ebon,4.582,168.6964,82.71,79.0,100.0,9.28,MH,1716907218
